 Proto, Local, Address, Foreign, Address
 TCP, 0.0.0.0:135, 0.0.0.0:0, LISTENING, 1420
 TCP, 0.0.0.0:445, 0.0.0.0:0, LISTENING, 4
 TCP, 0.0.0.0:4846, 0.0.0.0:0, LISTENING, 25300
 TCP, 0.0.0.0:5040, 0.0.0.0:0, LISTENING, 11152
 TCP, 0.0.0.0:5357, 0.0.0.0:0, LISTENING, 4
 TCP, 0.0.0.0:27036, 0.0.0.0:0, LISTENING, 2624
 TCP, 0.0.0.0:49664, 0.0.0.0:0, LISTENING, 1080
 TCP, 0.0.0.0:49665, 0.0.0.0:0, LISTENING, 936
 TCP, 0.0.0.0:49666, 0.0.0.0:0, LISTENING, 1900
 TCP, 0.0.0.0:49667, 0.0.0.0:0, LISTENING, 1940
 TCP, 0.0.0.0:49668, 0.0.0.0:0, LISTENING, 4292
 TCP, 0.0.0.0:49678, 0.0.0.0:0, LISTENING, 4816
 TCP, 0.0.0.0:49696, 0.0.0.0:0, LISTENING, 1072
 TCP, 127.0.0.1:5939, 0.0.0.0:0, LISTENING, 5172
 TCP, 127.0.0.1:9010, 0.0.0.0:0, LISTENING, 17880
 TCP, 127.0.0.1:9010, 127.0.0.1:50112, ESTABLISHED, 17880
 TCP, 127.0.0.1:9180, 0.0.0.0:0, LISTENING, 4204
 TCP, 127.0.0.1:27015, 0.0.0.0:0, LISTENING, 20276
 TCP, 127.0.0.1:27060, 0.0.0.0:0, LISTENING, 2624
 TCP, 127.0.0.1:45654, 0.0.0.0:0, LISTENING, 17880
 TCP, 127.0.0.1:49779, 0.0.0.0:0, LISTENING, 18620
 TCP, 127.0.0.1:49779, 127.0.0.1:49791, ESTABLISHED, 18620
 TCP, 127.0.0.1:49779, 127.0.0.1:49792, ESTABLISHED, 18620
 TCP, 127.0.0.1:49791, 127.0.0.1:49779, ESTABLISHED, 20276
 TCP, 127.0.0.1:49792, 127.0.0.1:49779, ESTABLISHED, 20276
 TCP, 127.0.0.1:49802, 0.0.0.0:0, LISTENING, 2624
 TCP, 127.0.0.1:49802, 127.0.0.1:49817, ESTABLISHED, 2624
 TCP, 127.0.0.1:49803, 0.0.0.0:0, LISTENING, 2624
 TCP, 127.0.0.1:49803, 127.0.0.1:49816, ESTABLISHED, 2624
 TCP, 127.0.0.1:49816, 127.0.0.1:49803, ESTABLISHED, 20096
 TCP, 127.0.0.1:49817, 127.0.0.1:49802, ESTABLISHED, 20096
 TCP, 127.0.0.1:50112, 127.0.0.1:9010, ESTABLISHED, 13768
 TCP, 127.0.0.1:51664, 0.0.0.0:0, LISTENING, 7352
 TCP, 127.0.0.1:52874, 127.0.0.1:52875, ESTABLISHED, 3660
 TCP, 127.0.0.1:52875, 127.0.0.1:52874, ESTABLISHED, 3660
 TCP, 192.168.0.134:139, 0.0.0.0:0, LISTENING, 4
 TCP, 192.168.0.134:49700, 4.207.247.138:443, ESTABLISHED, 4672
 TCP, 192.168.0.134:49749, 52.97.200.242:443, ESTABLISHED, 14968
 TCP, 192.168.0.134:49812, 185.25.182.20:27024, ESTABLISHED, 2624
 TCP, 192.168.0.134:49826, 63.33.185.197:443, ESTABLISHED, 20384
 TCP, 192.168.0.134:50376, 52.200.46.145:443, ESTABLISHED, 20384
 TCP, 192.168.0.134:52841, 100.21.131.68:443, ESTABLISHED, 5140
 TCP, 192.168.0.134:55221, 2.19.176.195:443, CLOSE_WAIT, 12248
 TCP, 192.168.0.134:58965, 140.82.114.26:443, ESTABLISHED, 1996
 TCP, 192.168.0.134:59142, 23.216.155.171:443, ESTABLISHED, 2028
 TCP, 192.168.0.134:59419, 40.79.141.153:443, ESTABLISHED, 20720
 TCP, 192.168.0.134:59436, 185.199.110.133:443, ESTABLISHED, 20720
 TCP, 192.168.0.134:59654, 13.69.68.64:443, ESTABLISHED, 20720
 TCP, 192.168.0.134:59679, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59692, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59697, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59721, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59724, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59725, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59726, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59728, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59729, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59730, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59732, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59733, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59734, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59735, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59736, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59737, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59738, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59740, 13.107.246.52:443, ESTABLISHED, 20720
 TCP, 192.168.0.134:59744, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59745, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59746, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59747, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59748, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59749, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59750, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59751, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59752, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59756, 104.123.102.160:443, ESTABLISHED, 13748
 TCP, 192.168.0.134:59761, 4.208.26.197:443, ESTABLISHED, 2028
 TCP, 192.168.0.134:59762, 52.142.125.222:443, ESTABLISHED, 2028
 TCP, 192.168.0.134:59763, 140.82.114.26:443, ESTABLISHED, 2028
 TCP, 192.168.0.134:59764, 138.197.66.20:443, ESTABLISHED, 2028
 TCP, 192.168.0.134:59769, 192.168.0.222:80, SYN_SENT, 2028
 TCP, 192.168.0.134:59770, 192.168.0.222:80, SYN_SENT, 2028
 TCP, 192.168.56.1:139, 0.0.0.0:0, LISTENING, 4
 TCP, [::]:135, [::]:0, LISTENING, 1420
 TCP, [::]:445, [::]:0, LISTENING, 4
 TCP, [::]:4846, [::]:0, LISTENING, 25300
 TCP, [::]:5357, [::]:0, LISTENING, 4
 TCP, [::]:49664, [::]:0, LISTENING, 1080
 TCP, [::]:49665, [::]:0, LISTENING, 936
 TCP, [::]:49666, [::]:0, LISTENING, 1900
 TCP, [::]:49667, [::]:0, LISTENING, 1940
 TCP, [::]:49668, [::]:0, LISTENING, 4292
 TCP, [::]:49678, [::]:0, LISTENING, 4816
 TCP, [::]:49696, [::]:0, LISTENING, 1072
 TCP, [::1]:49669, [::]:0, LISTENING, 4828
 UDP, 0.0.0.0:500, *:*, , 4828
 UDP, 0.0.0.0:3702, *:*, , 4828
 UDP, 0.0.0.0:3702, *:*, , 4828
 UDP, 0.0.0.0:3702, *:*, , 4828
 UDP, 0.0.0.0:3702, *:*, , 4828
 UDP, 0.0.0.0:4500, *:*, , 4828
 UDP, 0.0.0.0:5050, *:*, , 4828
 UDP, 0.0.0.0:5353, *:*, , 4828
 UDP, 0.0.0.0:5353, *:*, , 4828
 UDP, 0.0.0.0:5353, *:*, , 4828
 UDP, 0.0.0.0:5353, *:*, , 4828
 UDP, 0.0.0.0:5353, *:*, , 4828
 UDP, 0.0.0.0:5355, *:*, , 4828
 UDP, 0.0.0.0:27036, *:*, , 4828
 UDP, 0.0.0.0:54370, *:*, , 4828
 UDP, 0.0.0.0:56417, *:*, , 4828
 UDP, 0.0.0.0:58795, *:*, , 4828
 UDP, 0.0.0.0:64143, *:*, , 4828
 UDP, 127.0.0.1:1900, *:*, , 4828
 UDP, 127.0.0.1:10010, *:*, , 4828
 UDP, 127.0.0.1:10011, *:*, , 4828
 UDP, 127.0.0.1:50354, *:*, , 4828
 UDP, 127.0.0.1:50355, *:*, , 4828
 UDP, 127.0.0.1:58824, *:*, , 4828
 UDP, 127.0.0.1:60205, *:*, , 4828
 UDP, 127.0.0.1:60759, *:*, , 4828
 UDP, 192.168.0.134:137, *:*, , 4828
 UDP, 192.168.0.134:138, *:*, , 4828
 UDP, 192.168.0.134:1900, *:*, , 4828
 UDP, 192.168.0.134:5353, *:*, , 4828
 UDP, 192.168.0.134:5353, *:*, , 4828
 UDP, 192.168.0.134:27036, *:*, , 4828
 UDP, 192.168.0.134:58823, *:*, , 4828
 UDP, 192.168.56.1:137, *:*, , 4828
 UDP, 192.168.56.1:138, *:*, , 4828
 UDP, 192.168.56.1:1900, *:*, , 4828
 UDP, 192.168.56.1:5353, *:*, , 4828
 UDP, 192.168.56.1:5353, *:*, , 4828
 UDP, 192.168.56.1:58822, *:*, , 4828
 UDP, [::]:500, *:*, , 4828
 UDP, [::]:3702, *:*, , 4828
 UDP, [::]:3702, *:*, , 4828
 UDP, [::]:3702, *:*, , 4828
 UDP, [::]:3702, *:*, , 4828
 UDP, [::]:4500, *:*, , 4828
 UDP, [::]:5353, *:*, , 4828
 UDP, [::]:5353, *:*, , 4828
 UDP, [::]:5353, *:*, , 4828
 UDP, [::]:5355, *:*, , 4828
 UDP, [::]:54371, *:*, , 4828
 UDP, [::]:56418, *:*, , 4828
 UDP, [::]:58796, *:*, , 4828
 UDP, [::]:64144, *:*, , 4828
 UDP, [::1]:1900, *:*, , 4828
 UDP, [::1]:5353, *:*, , 4828
 UDP, [::1]:58821, *:*, , 4828
 UDP, [fe80::a36b:e703:d933:60b2%18]:1900, *:*, , 4828
 UDP, [fe80::a36b:e703:d933:60b2%18]:58819, *:*, , 4828
 UDP, [fe80::cba1:bee0:1d67:1bf0%15]:1900, *:*, , 4828
 UDP, [fe80::cba1:bee0:1d67:1bf0%15]:58820, *:*, , 4828
